time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
31510.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31511.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31512.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31513.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31514.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31515.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31516.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31517.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31518.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31519.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31520.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31521.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31522.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31523.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31524.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31525.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31526.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31527.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31528.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31529.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31530.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31531.0,0.0,0.0,5e-05,3e-05,-1e-05,0.0,0.0,2e-05,1.0
31532.0,1e-05,3e-05,-0.00014,-1e-05,1e-05,-1e-05,0.0,0.0,1.0
31533.0,-1e-05,0.0,-4e-05,-4e-05,-3e-05,1e-05,-2e-05,-4e-05,1.0
31534.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31535.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31537.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31540.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31541.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31542.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31543.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31544.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31545.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31546.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31547.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31548.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31549.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31550.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31551.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31552.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31553.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31554.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31555.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31556.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
31557.0,-2e-05,-6e-05,-0.00011,-5e-05,0.0,-3e-05,-3e-05,-2e-05,1.0
