time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
35089.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35090.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35091.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35092.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35094.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35095.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35096.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35097.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35098.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35099.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35100.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35101.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35102.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35103.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35104.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35105.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35106.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35107.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35108.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35109.0,-5e-05,3e-05,0.00013,1e-05,1e-05,-5e-05,-0.00032,-0.00011,2.0
35110.0,0.00022,9e-05,6e-05,8e-05,-1e-05,2e-05,0.00013,5e-05,2.0
35111.0,-6e-05,-4e-05,-0.00015,0.00019,9e-05,-5e-05,-0.0002,-0.00017,2.0
35112.0,-6e-05,-4e-05,-0.00015,0.00019,9e-05,-5e-05,-0.0002,-0.00017,2.0
35113.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35114.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35115.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35116.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35117.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35118.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35119.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35120.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35121.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35122.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35123.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35124.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35125.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35126.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35127.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35128.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35129.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35130.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35131.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35132.0,0.00016,-6e-05,-5e-05,-3e-05,0.0,4e-05,0.0004,0.00015,2.0
35133.0,7e-05,8e-05,0.00022,4e-05,7e-05,0.00026,0.0001,7e-05,2.0
35134.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35135.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35136.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35139.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35140.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35141.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35142.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35143.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35144.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35145.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35146.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
35147.0,0.00018,7e-05,0.00015,0.0,3e-05,7e-05,5e-05,1e-05,2.0
