time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
41063.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41064.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41065.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41066.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41067.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41068.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41069.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41070.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41071.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41072.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41073.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41074.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41075.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41076.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41077.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41078.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41079.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41080.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41081.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41082.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41083.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41084.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41085.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41086.0,3e-05,0.00018,-5e-05,-0.0001,-0.00013,-4e-05,-2e-05,6e-05,3.0
41089.0,-6e-05,-0.00033,-0.00017,-6e-05,-0.00017,-1e-05,4e-05,-1e-05,3.0
41090.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
41091.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
41092.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
41093.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
41094.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
41095.0,3e-05,4e-05,0.00014,-7e-05,-0.00023,0.0,-6e-05,-0.00012,3.0
