time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
46542.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46543.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46544.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46545.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46546.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46547.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46549.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46550.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46551.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46552.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46553.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46554.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46555.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46556.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46557.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46558.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46559.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
46560.0,-0.00014,-0.00017,-0.00026,-0.00049,-0.00075,-0.00048,-0.00035,-0.00018,4.0
