time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
21640.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21641.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21642.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21643.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21644.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21645.0,-2e-05,2e-05,0.00024,-1e-05,-0.00043,-5e-05,-2e-05,1e-05,5.0
21646.0,5e-05,0.00024,0.00047,0.00057,0.00026,0.00015,0.00011,6e-05,5.0
21647.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21648.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21649.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21650.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21651.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21652.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21653.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21654.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21655.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21656.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21657.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21658.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21659.0,-1e-05,3e-05,-0.00011,0.00016,0.00042,5e-05,-8e-05,-5e-05,5.0
21660.0,-4e-05,-1e-05,4e-05,9e-05,-0.00012,-0.00013,-7e-05,-4e-05,5.0
21661.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21662.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21663.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21664.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21665.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21666.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21667.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21668.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21669.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21670.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21671.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21672.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21673.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21674.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21675.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
21676.0,-4e-05,-0.00011,0.00024,0.00013,-7e-05,-6e-05,-2e-05,-2e-05,5.0
