time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
52255.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52256.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52257.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52258.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52259.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52260.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52261.0,1e-05,0.0002,0.00037,0.00071,0.00061,0.00025,0.00011,3e-05,5.0
52262.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52263.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52264.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52265.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52266.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52267.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52268.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52269.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52270.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52271.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52272.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52273.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52274.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52275.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52276.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52277.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52278.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52279.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52280.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52281.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52282.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52283.0,7e-05,-0.00018,-0.00025,0.0001,4e-05,-0.00014,-0.00011,-1e-05,5.0
52284.0,-6e-05,-6e-05,-0.00011,-0.00024,-0.00038,-0.00018,-7e-05,-5e-05,5.0
52285.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52286.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52288.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52289.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52290.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52291.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52292.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52293.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52294.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52295.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52296.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52297.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52298.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52299.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52300.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52301.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52302.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52304.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52305.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52306.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52307.0,8e-05,0.0002,0.00031,-0.00034,-0.00052,-4e-05,2e-05,5e-05,5.0
52308.0,-0.0001,-0.00026,-0.0003,0.0003,0.00047,-0.00022,-0.00016,-9e-05,5.0
52309.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52310.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52311.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52312.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52313.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52314.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52315.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52316.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52317.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52318.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52319.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52320.0,-4e-05,1e-05,0.0,5e-05,0.00024,0.00012,7e-05,2e-05,5.0
52321.0,0.0001,0.00011,0.00013,-0.00033,-0.00031,2e-05,6e-05,7e-05,5.0
52322.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52323.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52324.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52325.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52326.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52327.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52328.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52329.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52330.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52331.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52332.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52333.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52334.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52335.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52336.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52339.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52340.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52341.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52342.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52343.0,-2e-05,0.0001,0.00019,0.00034,0.00017,7e-05,0.0,1e-05,5.0
52344.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52345.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52346.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52347.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52348.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52349.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52350.0,5e-05,-5e-05,-3e-05,1e-05,-0.00035,-0.00019,-0.00011,0.0,5.0
52351.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52352.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52353.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52354.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52355.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52356.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52357.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52358.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52359.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52360.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52361.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52362.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52363.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52364.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52365.0,-9e-05,1e-05,5e-05,-0.00032,-0.00022,-0.00017,-0.00015,-0.00012,5.0
52366.0,-7e-05,-0.00015,-0.00037,-0.00036,-0.00038,-0.00036,-0.00014,-8e-05,5.0
52367.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52368.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52369.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52370.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52371.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52372.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52373.0,-1e-05,4e-05,-3e-05,-0.00021,4e-05,0.00016,8e-05,2e-05,5.0
52374.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52375.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52376.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52377.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52378.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52379.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52380.0,-2e-05,-4e-05,-0.00021,-0.00033,-0.00037,-0.00012,-7e-05,-4e-05,5.0
52381.0,-4e-05,7e-05,0.0002,0.00034,0.00022,-9e-05,-0.00014,-9e-05,5.0
52382.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52383.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52384.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52385.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52386.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52389.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52390.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52391.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52392.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52393.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52394.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52395.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52396.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52397.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52398.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52399.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52400.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52401.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52402.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52403.0,7e-05,0.00019,0.00041,0.00035,-9e-05,0.00011,9e-05,6e-05,5.0
52404.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52405.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52406.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52407.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52408.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52409.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52410.0,-1e-05,0.00017,0.00024,0.00022,0.00021,0.00026,0.00011,3e-05,5.0
52411.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52412.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52413.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52414.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52415.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52416.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52417.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52418.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52419.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
52420.0,9e-05,0.00017,0.00028,0.0004,0.00023,6e-05,7e-05,8e-05,5.0
