time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
26959.0,0.00015,0.00016,8e-05,6e-05,5e-05,1e-05,0.00012,0.00011,6.0
26960.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26961.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26962.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26963.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26964.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26965.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26966.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26967.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26968.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26969.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26970.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26971.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26972.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26973.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26974.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26975.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26976.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26977.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26978.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26979.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26980.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26981.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26982.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26983.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26984.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26985.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26986.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26989.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26990.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26991.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26992.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26993.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26994.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26995.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26996.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26997.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26998.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
26999.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27000.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27001.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27002.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27003.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27004.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27005.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27006.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27007.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27008.0,0.00016,0.00022,-1e-05,-7e-05,-0.00024,-0.00038,-0.00024,-0.00031,6.0
27009.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27010.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27011.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27012.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27013.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27014.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27015.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27016.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27017.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27018.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27019.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27020.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27021.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27022.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27023.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27024.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27025.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27026.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27027.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27028.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27029.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27030.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27031.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27032.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27033.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27034.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27035.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27036.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
27039.0,0.00012,0.0001,0.0,0.0,-4e-05,-0.00026,-0.00026,0.00027,6.0
