Channel 1,Channel 2,Audio Trigger,Movement Label
-0.0224304,0.0288391,0.00549316,Rest
-0.0242615,0.0263977,0.00396729,Rest
-0.0209045,0.0161743,0.00549316,Rest
-0.0195313,-0.0263977,0.00244141,Rest
-0.01297,-0.0361633,0.00610352,Rest
-0.0088501,-0.0550842,0.00793457,Rest
-0.00732422,-0.0508118,0.00488281,Rest
-0.00793457,-0.0358582,0.00518799,Rest
-0.00732422,-0.000915527,0.00640869,Rest
-0.0105286,0.0302124,0.00579834,Rest
-0.0117493,0.0352478,0.00701904,Rest
-0.00946045,0.0213623,0.0106812,Rest
-0.00213623,0.038147,0.00579834,Rest
-0.00137329,0.00976563,0.00732422,Rest
-0.00656128,-0.0222778,0.00579834,Rest
-0.01297,-0.0378418,0.00610352,Rest
-0.0259399,-0.0509644,0.00427246,Rest
-0.038147,-0.0537109,0.00793457,Rest
-0.0508118,-0.037384,0.00671387,Rest
-0.0361633,-0.0115967,0.00366211,Rest
-0.0106812,0.0120544,0.00610352,Rest
-0.014801,0.0582886,0.00823975,Rest
-0.0125122,0.0697327,0.00823975,Rest
-0.00854492,0.0274658,0.00579834,Rest
-0.00900269,0.038147,0.00640869,Rest
-0.00411987,0.0262451,0.00610352,Rest
-0.0112915,0.0256348,0.00244141,Rest
-0.0138855,0.0259399,0.00549316,Rest
-0.0161743,0.0341797,0.00640869,Rest
-0.0134277,0.0311279,0.00762939,Rest
-0.0166321,-0.0131226,0.00518799,Rest
-0.022583,-0.0631714,0.00640869,Rest
-0.0273132,-0.0489807,0.00549316,Rest
-0.0234985,-0.0308228,0.00579834,Rest
-0.0230408,-0.0282288,0.00732422,Rest
-0.0212097,-0.0161743,0.00762939,Rest
-0.019989,-0.00396729,0.00610352,Rest
-0.0189209,0.00534058,0.00701904,Rest
-0.0160217,0.0189209,0.00701904,Rest
-0.0100708,-0.0154114,0.00732422,Rest
-0.0062561,-0.0401306,0.00518799,Rest
